confl,SELS_mx,nrSELS,pavedkm,unpavedkm,PA_dist,vieh_sum,cattle_sum,pop_sum,forest,shrub,grass,crop,set_num,set_area
"1",C1,"1.000000000000000","52.48","425.84","19.79","3604.866317749023438","44883.804687500000000","6435.371207806747407","330.48","27.64","408.50","919.33","2.000000000000000","3.68"
"1",D3,"3.000000000000000","81.44","52.26","0.00","2873.301513671875000","5506.664066314698175","8724.967730892356485","875.45","26.35","691.72","29.62","1.000000000000000","6.03"
"1",D1,"3.000000000000000","187.10","227.75","0.00","2763.052768707275391","12400.315399169921875","68316.001418615691364","1263.26","62.50","241.78","60.05","5.000000000000000","17.85"
"2",C1,"1.000000000000000","64.68","436.53","25.69","5493.771697998046875","44381.728027343750000","11437.973447166616097","15.44","0.13","359.73","1490.87","1.000000000000000","8.22"
"2",C1,"1.000000000000000","102.54","394.61","92.85","3373.860412597656250","50572.082885742187500","7910.084028346464038","22.64","0.09","104.44","1614.95","4.000000000000000","5.78"
"2",B,"2.000000000000000","151.10","167.79","0.00","9899.152221679687500","13235.920257568357556","30377.827846994157881","72.96","583.26","857.65","108.51","9.000000000000000","14.81"
"2",C1,"1.000000000000000","0.00","650.55","86.79","5882.523254394531250","23822.227355957031250","12630.609226634260267","563.17","8.37","63.67","1023.94","1.000000000000000","4.22"
"2",C1,"2.000000000000000","41.24","417.78","55.66","6530.906463623046875","17075.626098632812500","12403.426904799884142","830.13","30.11","37.66","754.25","1.000000000000000","6.07"
"2",C1,"1.000000000000000","27.38","417.02","6.94","37102.334716796882276","78915.047851562500000","9020.395574002526700","340.45","59.58","1174.61","118.76","1.000000000000000","3.29"
"2",C1,"1.000000000000000","44.05","6.50","0.00","1035.119567871093750","20797.244812011722388","11554.298393729142845","9.95","0.00","464.99","1.62","0.000000000000000","3.68"
"2",C1,"1.000000000000000","70.20","355.89","18.72","2711.003082275390625","74650.134521484375000","26144.934043050740001","92.58","2.08","535.00","1111.94","4.000000000000000","11.36"
"2",C1,"1.000000000000000","82.94","201.82","28.51","13585.771194458007812","65583.835205078125000","17504.925795566756278","616.25","17.59","381.04","544.10","1.000000000000000","5.62"
"2",C1,"1.000000000000000","137.54","94.55","0.00","1822.892642974853743","34065.631652832031250","131354.980767817469314","105.15","0.00","316.17","321.51","6.000000000000000","55.11"
"2",D3,"4.000000000000000","47.34","253.82","0.00","294.995613574981689","1697.330333709716797","76446.149807579800836","1146.24","9.50","45.02","381.97","8.000000000000000","13.20"
"2",D3,"3.000000000000000","46.55","236.99","0.00","320.167061328887939","1680.677829742431641","81349.676159743219614","1167.46","8.95","46.80","359.46","9.000000000000000","13.94"
"2",B,"1.000000000000000","160.93","142.57","28.92","261.100837707519531","2049.224090576171875","54560.479984653182328","55.91","1093.20","218.44","65.79","10.000000000000000","18.46"
"2",B,"2.000000000000000","131.39","390.67","2.23","2744.143215179443359","3304.597549438477017","64620.392353584065859","47.71","739.94","483.79","413.85","11.000000000000000","21.61"
"2",E1,"2.000000000000000","41.01","260.95","19.93","10588.620910644531250","8900.980133056640625","8130.157871406525373","870.88","739.83","1.58","0.29","1.000000000000000","3.40"
"2",C1,"1.000000000000000","34.53","407.55","110.37","16616.115417480468750","5419.049926757812500","5093.923655835445970","1241.40","428.40","10.49","1.61","2.000000000000000","3.82"
